Index,Date,Time,BG,ISIG
0,7/9/2019,0:00:00,0,0
1,7/9/2019,1:00:00,136,18.06
2,7/9/2019,2:00:00,0,0
3,7/9/2019,3:00:00,0,0
4,7/9/2019,4:00:00,0,0
5,7/9/2019,5:00:00,0,0
6,7/9/2019,6:00:00,0,0
7,7/9/2019,7:00:00,136,18.06
8,7/9/2019,8:00:00,0,0
9,7/9/2019,9:00:00,0,0
10,7/9/2019,10:00:00,0,0
11,7/9/2019,11:00:00,0,0
12,7/9/2019,12:00:00,147,20.11
13,7/9/2019,13:00:00,0,0
14,7/9/2019,14:00:00,0,0
15,7/9/2019,15:00:00,0,0
16,7/9/2019,16:00:00,0,0
17,7/9/2019,17:00:00,0,0
18,7/9/2019,18:00:00,0,0
19,7/9/2019,19:00:00,140,19.79
20,7/9/2019,20:00:00,0,0
21,7/9/2019,21:00:00,0,0
22,7/9/2019,22:00:00,0,0
23,7/9/2019,23:00:00,245,31.77
24,7/10/2019,0:00:00,0,0
25,7/10/2019,1:00:00,222,29.4
26,7/10/2019,2:00:00,0,0
27,7/10/2019,3:00:00,0,0
28,7/10/2019,4:00:00,0,0
29,7/10/2019,5:00:00,0,0
30,7/10/2019,6:00:00,0,0
31,7/10/2019,7:00:00,87,17.55
32,7/10/2019,8:00:00,0,0
33,7/10/2019,9:00:00,0,0
34,7/10/2019,10:00:00,0,0
35,7/10/2019,11:00:00,0,0
36,7/10/2019,12:00:00,68,15.37
37,7/10/2019,13:00:00,0,0
38,7/10/2019,14:00:00,0,0
39,7/10/2019,15:00:00,0,0
40,7/10/2019,16:00:00,0,0
41,7/10/2019,17:00:00,0,0
42,7/10/2019,18:00:00,0,0
43,7/10/2019,19:00:00,196,26.31
44,7/10/2019,20:00:00,0,0
45,7/10/2019,21:00:00,0,0
46,7/10/2019,22:00:00,0,0
47,7/10/2019,23:00:00,102,19.7
48,7/11/2019,0:00:00,0,0
49,7/11/2019,1:00:00,155,20.81
50,7/11/2019,2:00:00,0,0
51,7/11/2019,3:00:00,0,0
52,7/11/2019,4:00:00,0,0
53,7/11/2019,5:00:00,0,0
54,7/11/2019,6:00:00,0,0
55,7/11/2019,7:00:00,87,17.55
56,7/11/2019,8:00:00,0,0
57,7/11/2019,9:00:00,0,0
58,7/11/2019,10:00:00,0,0
59,7/11/2019,11:00:00,0,0
60,7/11/2019,12:00:00,84,17.45
61,7/11/2019,13:00:00,0,0
62,7/11/2019,14:00:00,0,0
63,7/11/2019,15:00:00,0,0
64,7/11/2019,16:00:00,0,0
65,7/11/2019,17:00:00,0,0
66,7/11/2019,18:00:00,0,0
67,7/11/2019,19:00:00,226,30.17
68,7/11/2019,20:00:00,0,0
69,7/11/2019,21:00:00,0,0
70,7/11/2019,22:00:00,0,0
71,7/11/2019,23:00:00,243,31.37
72,7/12/2019,0:00:00,0,0
73,7/12/2019,1:00:00,134,18.6
74,7/12/2019,2:00:00,0,0
75,7/12/2019,3:00:00,0,0
76,7/12/2019,4:00:00,0,0
77,7/12/2019,5:00:00,0,0
78,7/12/2019,6:00:00,0,0
79,7/12/2019,7:00:00,160,22.34
80,7/12/2019,8:00:00,0,0
81,7/12/2019,9:00:00,0,0
82,7/12/2019,10:00:00,0,0
83,7/12/2019,11:00:00,0,0
84,7/12/2019,12:00:00,71,15.54
85,7/12/2019,13:00:00,0,0
86,7/12/2019,14:00:00,0,0
87,7/12/2019,15:00:00,0,0
88,7/12/2019,16:00:00,0,0
89,7/12/2019,17:00:00,0,0
90,7/12/2019,18:00:00,0,0
91,7/12/2019,19:00:00,217,27.83
92,7/12/2019,20:00:00,0,0
93,7/12/2019,21:00:00,0,0
94,7/12/2019,22:00:00,0,0
95,7/12/2019,23:00:00,84,17.45
